atm_id,alias_id,banklocation_id,install_date,delievery_date,takeover_date,category_id,model_id,android_version,serial_number,type_id,status_id,warranty
TKCRM001,TKCRM001,1,6/13/2022,6/13/2022,6/13/2027,1,3,Win10,J812001413,2,1,365
TKOCRM01,TKOCRM01,1,8/23/2023,8/23/2023,8/23/2028,1,3,Win10,J812001415,2,1,365
WBTATM01,WBTATM01,1,11/10/2023,11/10/2023,11/10/2028,1,1,Win10,J810009870,1,1,365
WBTATM02,WBTATM02,1,11/10/2023,11/10/2023,11/10/2028,1,1,Win10,J810009862,1,1,365
WBTCRM01,WBTCRM01,1,11/10/2023,11/10/2023,11/10/2028,1,3,Win10,J812002265,2,1,365
WPATM001,WPATM001,1,5/30/2022,5/30/2022,5/30/2027,1,1,Win10,J810009867,1,1,365
WPCRM001,WPCRM001,1,5/30/2022,5/30/2022,5/30/2027,1,3,Win10,J812001289,2,1,365
120003,Phillip_Midtown,1,1/23/2024,1/19/2024,1/19/2029,1,4,Android OS,DM500C2308040,3,1,365
18120002,Total_toul_pong_ror,1,12/20/2023,12/20/2023,12/20/2028,1,4,Android OS,DM500C2308036,3,1,365
25312001,PP-SHV Express way,1,11/20/2023,11/20/2023,11/20/2028,1,4,Android OS,DM500C2308035,3,1,365
Philip_UAT,Philip_UAT,1,6/30/2023,6/30/2023,6/30/2028,1,4,Android OS,DM500C2304010,3,1,365
CCM1280003,CCM1280003,1,12/24/2022,12/24/2022,12/15/2027,1,4,Android OS,DM200A30016,3,1,365
CCM1280004,CCM1280004,1,12/24/2022,12/24/2022,12/15/2027,1,4,Android OS,DM200A30019,3,1,365
CCM1280005,CCM1280005,1,12/24/2022,12/24/2022,12/15/2027,1,4,Android OS,DM200A30013,3,1,365
CCM1280006,CCM1280006,1,12/24/2022,12/24/2022,12/15/2027,1,4,Android OS,DM200A30008,3,1,365
CCM1280007,CCM1280007,1,12/24/2022,12/24/2022,12/15/2027,1,4,Android OS,DM200A30005,3,1,365
CCM1280008,CCM1280008,1,8/23/2023,8/23/2023,8/24/2030,1,4,Android OS,DM200A30017,3,1,365
CCM1280009,CCM1280009,1,12/24/2022,12/24/2022,12/15/2027,1,4,Android OS,DM500C2304022B,3,1,365
CCM1280010,CCM1280010,1,12/24/2022,12/24/2022,12/15/2027,1,4,Android OS,DM200A30020,3,1,365
CCM1280011,CCM1280011,1,12/24/2022,12/24/2022,12/15/2027,1,4,Android OS,DM200A30003,3,1,365
CCM1280012,CCM1280012,1,12/24/2022,12/24/2022,12/15/2027,1,4,Android OS,DM200A30012,3,1,365
CCM1280013,CCM1280013,1,12/15/2022,12/13/2022,12/15/2027,1,4,Android OS,DM200A30015,3,1,365
CCM1280014,CCM1280014,1,12/15/2022,12/13/2022,12/15/2027,1,4,Android OS,DM200A30004,3,1,365
CCM1280015,CCM1280015,1,12/15/2022,12/13/2022,12/15/2027,1,4,Android OS,DM200A30011,3,1,365
CCM1280016,CCM1280016,1,12/15/2022,12/13/2022,12/15/2027,1,4,Android OS,DM200A30009,3,1,365
CCM1280017,CCM1280017,1,12/15/2022,12/13/2022,12/15/2027,1,4,Android OS,DM200A30014,3,1,365
CCM1280018,CCM1280018,1,12/15/2022,12/13/2022,12/15/2027,1,4,Android OS,DM200A30007,3,1,365
CCM1280019,CCM1280019,1,12/15/2022,12/13/2022,12/15/2027,1,4,Android OS,DM200A30018,3,1,365
CCM1280020,CCM1280020,1,8/23/2023,8/23/2023,8/24/2030,1,4,Android OS,DM200A30006,3,1,365
CCM1280021,CCM1280021,1,8/23/2023,8/23/2023,8/24/2030,1,4,Android OS,DM500C2304013B,3,1,365
CCM1280022,CCM1280022,1,8/23/2023,8/23/2023,8/24/2030,1,4,Android OS,DM500C2304018B,3,1,365
CCM1280023,CCM1280023,1,8/23/2023,8/23/2023,8/24/2030,1,4,Android OS,DM500C2304027B,3,1,365
CCM1280024,CCM1280024,1,8/23/2023,8/23/2023,8/24/2030,1,4,Android OS,DM500C2304028B,3,1,365
AMKDC12,PTT Prey Sar,1,2/15/2024,2/15/2024,2/15/2029,1,4,Android OS,DM500C2308039,3,1,365
