ATM ID,Alias Name,ATM Live,Location,ATM Type,Bank,Model
AMKATM77,CCVLKH-A001,4-May-22,"National Road No 6A, Kien Khleang Village, Sangkat Chroy Changva, Khan Chroy Changva, Phnom Penh, Cambodia.",ATM ,AMK,DN100D
AMKATM78,PSCNRD-A001,3-May-22,"Next to the fence of Norodom Primary School, Norodom Blvd., Sangkat Phsar Kandal II, Khan Daun Penh, Phnom Penh",ATM ,AMK,DN100D
AMKATM79,PNPMTT-A001,2-May-22,"Mao Tse Toung Street, Village 6, Sangkat Toul Svay Prey 1, Khan Boeung Keng Kang, Phnom Penh, Cambodia.",ATM ,AMK,DN100D
AMKATM80,PNPCAR-A001,5-May-22,"Lot 1381, National Road 2, Sangkat Chak Angre Krom, Khan Meanchey, Phnom Penh, Cambodia.",ATM ,AMK,DN100D
AMKATM81,PNPMBC-A001,2-May-22,"155E0, Street 163, Corner of Street 468, Sangkat Toul Tum Poung I, Khan Chamkarmon, Phnom Penh, Cambodia.",ATM ,AMK,DN100D
AMKATM82,VSR371-A001,5-May-22,"Street 371, Sangkat Boeung Tumpun 2, Khan Meanchey, Phnom Penh, Cambodia.",ATM ,AMK,DN100D
AMKATM83,PDKIOM-A001,3-May-22,"59, street 51 pasteur, corner of street 294, sangkat boeung keng kang i, khan chamkar mon, phnom penh, cambodia.",ATM ,AMK,DN100D
AMKATM85,TTLHCF-A001,15-Jun-22,"St. 2002/371, Land No. 3057, Trapeang Chhouk Village, Sangkat O Bek Kam, Khan Sen Sok, Phnom Penh, Cambodia.",ATM ,AMK,DN100D
AMKATM86,BKMSTD-A001,16-Jun-22,"Sky Tree Residence Building, Street 105, Sangkat Toul Sangke I, Khan Russey Keo, Phnom Penh, Cambodia.",ATM ,AMK,DN100D
AMKATM87,CCVDCF-A001,16-Jun-22,"preah keto mealea hospital premises, france road 47, village 13, sangkat srah chak, khan daun penh, phnom penh, cambodia.",ATM ,AMK,DN100D
AMKATM88,VSRKMA-A001,15-Jun-22,"K-Mall, Building No. 188, Phlong Veng Sreng, Trapeang Thleung 1 Village, Sangkat Choam Chao 1, Khan Por Senchey, Phnom Penh, Cambodia.",ATM ,AMK,DN100D
AMKATM89,AMKATM89,6-Sep-22,"285, Street 271, Village 1, Sangkat Boeung Keng Kang, Khan Chamkarmon, Phnom Penh",ATM ,AMK,DN100D
ATM00001,,21-Jan-22,"Building No 271, Preah Monivong Boulevard, Sangkat Bueng Kang Korng III, Khan Boeung Keng Kong, Phnom Penh",ATM ,Wing,DN100D
ATM-share 02,ATMSHA2-A001,11-Mar-23,"Sangkat Beoung keng kong I, Khan Beoung keng kong, Phnom penh",ATM ,BTI,DN100D
ATM-share 01,ATMSHA1-A001,11-Mar-23,"44, St 334 corner 57, Sangkat Beoung keng kong I, Khan Beoung keng kong, Phnom penh",ATM ,BTI,DN100D
BKATM001,,15-May-23,"Building No 271, Preah Monivong Boulevard, Sangkat Bueng Kang Korng III, Khan Boeung Keng Kong, Phnom Penh",ATM ,Wing,DN100D
IMATM001,,4-Mar-22,"Building No. 130, Preah Sihanouk Boulevard(274), Sangkat Boeung Keng Kong Ti mouy, Khan Boeung Keng Kong, Phnom Penh",ATM ,Wing,DN100D
PBCATM01,,10-Jan-23,"759 preah monivong blvd 93, phnom penh",ATM ,Wing,DN100D
PSZATM01,,25-Jan-23,"Building no 115,117 and 119 Street No.1 Trapean kol village, Sangkat Kan Taok, Khan Kamboul, Phnompenh",ATM ,Wing,DN100D
SHVATM01,,1-Jun-22,"Street Ekareach, Phum 1, Sangkat 2, Sihanouk City, Preah Sihanouk Province",ATM ,Wing,DN100D
SSATM001,,18-Mar-22,"Building No 11 12A, Street 1003,Phum Ba Yab Sangkat Phnom Penh Thmey, Khan Sen Sok, Phnom Penh",ATM ,Wing,DN100D
TCATM001,,21-Oct-22,"Building No. 130, Preah Sihanouk Boulevard(274), Sangkat Boeung Keng Kong Ti mouy, Khan Boeung Keng Kong, Phnom Penh",ATM ,Wing,DN100D
TKATM001,,18-Mar-22,"22, Sangkat Boeng kork Ti Mouy, Khan Toul Kork, Phnom Penh",ATM ,Wing,DN100D
WPATM001,,30-May-22,"Building No 246, Monivong Blvd, Sangkat Boueng Reang, Khan Duan Penh, Phnom Penh",ATM ,Wing,DN100D
AMKATM02,PNPCAP-C001,1-Feb-21,"Building No. 588, National Road No. 1, Group 3, Doeum Sleng Village, Sangkat Chba Ampov 2, Khan Chbar Ampov, Phnom Penh",CRM,AMK,DN200V
AMKATM03,PNPAEON1-C001,29-Aug-21,"132, Sothearos Street, Sangkat Tonle Bassac, Khan Chamkarmon, Phnom Penh.",CRM,AMK,DN200V
AMKATM04,PNPSTM-C001,29-Jun-21,"Kampuchea Krom Street, Sangkat Teuk Laak 1, Khan Toul Kork, Phnom Penh, Cambodia.",CRM,AMK,DN200V
AMKATM27,PNPBBU-C001,29-Aug-21,"phnom penh center 001b, samdech sothearos st. 3, village 15, sangkat tonle bassac, khan chamkarmon, phnom penh.",CRM,AMK,DN200V
AMKATM29,PNPPDK-C001,13-Jul-21,"Plot No. 20, House 179 Aston, Street 215, Village 16, Sangkat Phsar Doeum Kor, Khan Toul Kork, Phnom Penh",CRM,AMK,DN200V
AMKATM33,PNPBNC-C001,28-Aug-21,"432E, Preah Monivong Street, Sangkat Tonle Bassac, Khan Chamkarmon, Phnom Penh, Cambodia.",CRM,AMK,DN200V
AMKATM36,PNPSMC-C001,20-Jun-21,"Damnak Thom Village, Sangkat Steung Meanchey, Khan Meanchey, Phnom Penh",CRM,AMK,DN200V
AMKATM37,PNPPEH-C001,7-Jul-21,"National Road No. 1, Boeung Chhouk Village, Sangkat Niroth, Khan Chbar Ampov, Phnom Penh, Cambodia.",CRM,AMK,DN200V
AMKATM42,PNPCKD-C001,27-Aug-21,"647, Chamkar Dong Street, Sambour Village, Sangkat Dangkor, Khan Dangkor, Phnom Penh, Cambodia.",CRM,AMK,DN200V
AMKATM43,PNPPNP-C001,5-Jul-21,"285, Street 271, Village 1, Sangkat Boeung Keng Kang, Khan Chamkarmon, Phnom Penh.",CRM,AMK,DN200V
AMKATM47,PNPPPM-C001,9-Sep-21,"1216, Street 1986, Sangkat Phnom Penh Thmey, Khan Sen Sok, Phnom Penh.",CRM,AMK,DN200V
AMKATM57,PNPPSM-C001,28-Jan-21,"207, Street 271, Village 7, Sangkat Phsar Doeum Kor, Khan Chamkarmon, Phnom Penh, Cambodia.",CRM,AMK,DN200V
AMKATM58,BTBBTB-C001,30-Aug-21,"Plot No. 0355 and National Road No. 05, Romchek 5 Village, Sangkat Rattan: Battambang City, Battambang Province.",CRM,AMK,DN200V
AMKATM64,PNPTKK-C001,17-Jul-21,"Street 289, Village 12, Sangkat Boeung Kak II, Khan Toul Kork, Phnom Penh.",CRM,AMK,DN200V
AMKATM66,PNPNUM-C001,1-Sep-21,"National University of Management, St. 96 Christopher House, Sangkat Wat Phnom, Khan Daun Penh, Phnom Penh, Cambodia.",CRM,AMK,DN200V
AMKATM67,PNPEGN-C001,1-Sep-21,"center phnom phnom penh ppcc, city center blvd, sangkat srah chak, khan daun penh, phnom penh",CRM,AMK,DN200V
AMKATM73,SNGSNG-C001,14-Sep-21,"Building No. 93, Street 7, Suong Lech Village, Sangkat Suong, Suong Municipality, Tbong Khmum Province.",CRM,AMK,DN200V
AMKATM90,AMKATM90,6-Sep-22,"285, Street 271, Village 1, Sangkat Boeung Keng Kang, Khan Chamkarmon, Phnom Penh",CRM,AMK,DN200V
AMKATM91,ANSVSR-C001,26-May-23,"Building 6, Veng Sreng Street, Trapeang Thleung Village, Sangkat Choam Chao, Khan Por Senchey, Phnom Penh.",CRM,AMK,DN200V
BKCRM001,,15-May-23,"Building No 271, Preah Monivong Boulevard, Sangkat Bueng Kang Korng III, Khan Boeung Keng Kong, Phnom Penh",CRM,Wing,DN200V
BMCCRM01,,18-Jan-23,Banteay Meanchey,CRM,Wing,DN200V
BTBCRM01,,18-Jan-23,Battam bong provide,CRM,Wing,DN200V
CRM00001,,14-Jun-22,"Building No 271, Preah Monivong Boulevard, Sangkat Bueng Kang Korng III, Khan Boeung Keng Kong, Phnom Penh",CRM,Wing,DN200V
IMCRM001,,19-Jul-22,"building no. 130, preah sihanouk boulevard274, sangkat boeung keng kong ti mouy, khan boeung keng kong, phnom penh",CRM,Wing,DN200V
OKDCRM01,,17-Feb-23,"Building no. SHR135, Street 2004, Orchide Village, Sangkat Ou Beak Kam, Khan Saesokh, Phnom Penh, Cambodia.",CRM,Wing,DN200V
PBCCRM01,,10-Jan-23,"759 preah monivong blvd 93, phnom penh",CRM,Wing,DN200V
PSZCRM01,,25-Jan-23,"Building no 115,117 and 119 Street No.1 Trapean kol village, Sangkat Kan Taok, Khan Kamboul, Phnompenh",CRM,Wing,DN200V
SHVCRM01,,1-Jun-22,"Street Ekareach, Phum 1, Sangkat 2, Sihanouk City, Preah Sihanouk Province",CRM,Wing,DN200V
SSCRM001,,13-Jun-22,"Building No 11 12A, Street 1003,Phum Ba Yab Sangkat Phnom Penh Thmey, Khan Sen Sok, Phnom Penh",CRM,Wing,DN200V
TCCRM001,,21-Oct-22,"Building No. 130, Preah Sihanouk Boulevard(274), Sangkat Boeung Keng Kong Ti mouy, Khan Boeung Keng Kong, Phnom Penh",CRM,Wing,DN200V
TKCRM001,,13-Jun-22,"22, Sangkat Boeng kork Ti Mouy, Khan Toul Kork, Phnom Penh",CRM,Wing,DN200V
WPCRM001,,30-May-22,"Building No 246, Monivong Blvd, Sangkat Boueng Reang, Khan Duan Penh, Phnom Penh",CRM,Wing,DN200V
KPCCRM01,,26-Jun-23,"Boeng Kok Ti Pir Village, Sangkat Boeng Kok, Kampong Cham Municipality, Kompong Cham province",CRM,Wing,DN200V
AMKDC01,PPT Chbar Obpov,28-Jun-22,"national road no.1 phnom penh-vietnam, sangkat niruth,Khan Chbar Ampov, phnom penh, cambodia",DC365,AMK,DC365
