atm_id,alias_id,site_id,site_name,address,city,state,region_name,location,accessibility,install_date,delivery_date,take_over_date,category_name,model_name,serial_number,type_name,warranty_days,bank_name,user_id,status
AMKATM41,KOKKOK-A001,100984,On-site,"# 420, Village 1, Sangkat Smach Meanchey, Khemarak Phoumin Municipality, Koh Kong Province.",Khemarak Phoumin Municipality,Koh Kong,Khemarak Phoumin Municipality,Khemarak Phoumin Municipality,06:00 to 18:00,4/3/2021,7/18/2021,8/30/2026,Gold,DN 100D,J810004193,ATM,365,AMK MFI,1,active
AMKATM42,PNPCKD-C001,111979,Offsite,"# 647, Chamkar Dong Street, Sambour Village, Sangkat Dangkor, Khan Dangkor, Phnom Penh, Cambodia.",Doun Penh Section,Phnom Penh,Doun Penh Section,Doun Penh Section,06:00 to 18:00,8/27/2021,7/18/2021,8/30/2026,Gold,DN 200V,5310259822,CRM,365,AMK MFI,1,active
AMKATM43,PNPPNP-C001,103174,On-site,"# 285, Street 271, Village 1, Sangkat Boeung Keng Kang, Khan Chamkarmon, Phnom Penh.",Doun Penh Section,Phnom Penh,Doun Penh Section,Doun Penh Section,06:00 to 18:00,7/5/2021,7/18/2021,8/30/2026,Gold,DN 200V,5310259757,CRM,365,AMK MFI,1,active
AMKATM44,OMCOMC-A001,101512,On-site,"Samrong Village, Samrong Commune, Daun Keo City, Oddor Meanchey Province.",Samraong Municipality,Oddar Meanchey,Samraong Municipality,Samraong Municipality,06:00 to 18:00,7/15/2021,7/18/2021,8/30/2026,Gold,DN 100D,J810004217,ATM,365,AMK MFI,1,active
AMKATM45,PNPGRM-A001,103166,Offsite,"St. 3032, Banlea Set Village, Sangkat Khmuonh, Khan Sen Sok, Phnom Penh",Doun Penh Section,Phnom Penh,Doun Penh Section,Doun Penh Section,06:00 to 18:00,8/27/2021,7/18/2021,8/30/2026,Gold,PC 280,J821001981,ATM,365,AMK MFI,1,active
AMKATM46,PALPAL-A001,100990,Offsite,"Plot No. B1 0391 and B1 0027, Pahi Tbong Village, Sangkat Pailin, Pailin City, Pailin Province.",Pailin Municipality,Pailin,Pailin Municipality,Pailin Municipality,06:00 to 18:00,7/29/2021,7/18/2021,8/30/2026,Gold,DN 100D,J810004232,ATM,365,AMK MFI,1,active
AMKATM47,PNPPPM-C001,103179,On-site,"# 1216, Street 1986, Sangkat Phnom Penh Thmey, Khan Sen Sok, Phnom Penh.",Doun Penh Section,Phnom Penh,Doun Penh Section,Doun Penh Section,06:00 to 18:00,9/9/2021,7/18/2021,8/30/2026,Gold,DN 200V,5310263750,CRM,365,AMK MFI,1,active
AMKATM48,KCHKCH-A001,103163,On-site,"Village 6, Sangkat Veal Vong, Kampong Cham City, Kampong Cham Province.",Kampong Cham Municipality,Kampong Cham,Kampong Cham Municipality,Kampong Cham Municipality,06:00 to 18:00,7/19/2021,7/18/2021,8/30/2026,Gold,DN 100D,J810004220,ATM,365,AMK MFI,1,active
AMKATM49,KTHKTH-A001,102622,On-site,"National Road No. 6, Kampong Thom Village, Sangkat Kampong Rotes, Steung Sen City, Kampong Thom Province.",Steung Saen Municipality,Kampong Thom,Steung Saen Municipality,Steung Saen Municipality,06:00 to 18:00,7/6/2021,7/18/2021,8/30/2026,Gold,DN 100D,J810004224,ATM,365,AMK MFI,1,active
AMKATM50,PNPBKT-A001,103178,Offsite,"Street 169, Sangkat Veal Vong, Khan 7 Makara, Phnom Penh, Cambodia.",Doun Penh Section,Phnom Penh,Doun Penh Section,Doun Penh Section,06:00 to 18:00,6/26/2021,7/18/2021,8/30/2026,Gold,DN 100D,J810004192,ATM,365,AMK MFI,1,active
AMKATM51,KCHMDT-A001,100043,Offsite,"Ampil Leu Village, Ampil Commune, Kampong Siem District, Kampong Cham Province.",Kampong Cham Municipality,Kampong Cham,Kampong Cham Municipality,Kampong Cham Municipality,06:00 to 18:00,7/19/2021,7/18/2021,8/30/2026,Gold,DN 100D,J810004233,ATM,365,AMK MFI,1,active
AMKATM52,PNPHAR-A001,103171,Offsite,"136CD Street 110, Sangkat Teuk Laak I, Khan Toul Kork, Phnom Penh, Cambodia.",Doun Penh Section,Phnom Penh,Doun Penh Section,Doun Penh Section,06:00 to 18:00,8/28/2021,7/18/2021,8/30/2026,Gold,DN 100D,J810004199,ATM,365,AMK MFI,1,active
AMKATM53,ASNTAN1-A001,103170,Offsite,"Tnot 1 Deum Village, Bek Chan Commune, Ang Snoul District, Kandal Province.",Ta Khmau Municipality,Kandal,Ta Khmau Municipality,Ta Khmau Municipality,06:00 to 18:00,10/5/2020,7/18/2021,8/30/2026,Gold,DN 100D,J810001727,ATM,365,AMK MFI,1,active
AMKATM54,ASNCPV-A001,101010,On-site,"# 35, National Road 4, Ang Village, Sangkat Choam Chao, Khan Por Senchey, Phnom Penh.",Ta Khmau Municipality,Kandal,Ta Khmau Municipality,Ta Khmau Municipality,06:00 to 18:00,6/21/2021,7/18/2021,8/30/2026,Gold,DN 100D,J810004212,ATM,365,AMK MFI,1,active
