atm_id,alias_id,banklocation_id,install_date,delivery_date,takeover_date,category_id,model_id,android_version,serail_number,type_id,status_id,warrenty
AMKATM39,PRVPRV-A001,126,6/21/2021,7/18/2021,8/30/2026,2,1,Win10,J810004211,1,1,365
AMKATM78,PSCNRD-A001,138,5/3/2022,5/1/2022,8/30/2026,2,1,Win10,J810009355,1,1,365
AMKATM38,PSTPST-A001,127,7/8/2021,7/18/2021,8/30/2026,2,1,Win10,J810004216,1,1,365
AMKDC01,PTT Chbar Obpov,48,6/28/2022,6/28/2022,6/28/2027,2,4,Android OS,DM200A00266,3,1,365
AMKDC11,PTT Kampong Chhnang,89,6/9/2023,6/9/2023,6/9/2027,2,4,Android OS,C2304009,3,1,365
AMKDC07,PTT Phdao Chum 1,86,6/6/2023,6/6/2023,6/6/2027,2,4,Android OS,C2304004,3,1,365
AMKDC08,PTT Phdao-Chum 2,87,6/5/2023,6/5/2023,6/5/2027,2,4,Android OS,C2304005,3,1,365
AMKDC10,PTT Pich Nil,88,5/30/2023,5/30/2023,5/30/2027,2,4,Android OS,C2304007,3,1,365
AMKDC03,PTT Prek Phnov,46,6/30/2022,6/30/2022,6/30/2027,2,4,Android OS,DM200A00302,3,1,365
AMKDC02,PTT Prey Key,45,6/29/2022,6/29/2022,6/29/2027,2,4,Android OS,DM200A00303,3,1,365
AMKDC12,PTT Prey Sar,141,2/15/2024,2/15/2024,2/15/2029,2,4,Android OS,DM500C2308039,3,1,365
AMKDC05,PTT Seang Nam,85,6/8/2023,6/8/2023,6/8/2027,2,4,Android OS,C2304002,3,1,365
AMKDC06,PTT Siem Reap,44,6/7/2023,6/7/2023,6/7/2027,2,4,Android OS,C2304003,3,1,365
AMKDC09,PTT Takeo City,135,5/31/2023,5/31/2023,5/31/2027,2,4,Android OS,C2304006,3,1,365
AMKDC04,PTT_Klaing Leu,84,5/29/2023,5/29/2023,5/29/2027,2,4,Android OS,C2304001,3,1,365
AMKATM65,PUKPUK-A001,128,9/2/2021,7/18/2021,8/30/2026,2,1,Win10,J810004227,1,1,365
AMKATM68,RTKRTK-A001,129,9/3/2021,7/18/2021,8/30/2026,2,1,Win10,J810000779,1,1,365
AMKATM63,SHVSHV-A001,49,9/3/2021,7/18/2021,8/30/2026,2,1,Win10,J810004207,1,1,365
AMKATM69,SKNSKN-A001,130,9/2/2021,7/18/2021,8/30/2026,2,1,Win10,J810004191,1,1,365
AMKATM73,SNGSNG-C001,43,9/14/2021,7/18/2021,8/30/2026,2,3,Win10,5310263780,2,1,365
AMKATM71,SRPNMK-A001,44,9/13/2021,7/18/2021,8/30/2026,2,1,Win10,J810004218,1,1,365
AMKATM74,SRPSRP-A001,131,11/16/2021,7/18/2021,8/30/2026,2,1,Win10,J810004221,1,1,365
AMKATM75,STRSTR-A001,132,1/1/2022,7/18/2021,8/30/2026,2,1,Win10,J810004234,1,1,365
AMKATM72,SVRSVR-A001,133,3/3/2022,7/18/2021,8/30/2026,2,1,Win10,J810004206,1,1,365
AMKATM40,TAKATS-A001,134,3/17/2022,7/18/2021,8/30/2026,2,1,Win10,J810004214,1,1,365
AMKATM55,TAKTAK-A001,134,3/17/2022,7/18/2021,8/30/2026,2,1,Win10,J810004209,1,1,365
AMKATM85,TTLHCF-A001,65,6/15/2022,5/1/2022,8/30/2026,2,1,Win10,J810009353,1,1,365
AMKATM76,TTLKFR-A001,140,5/4/2022,5/1/2022,8/30/2026,2,1,Win10,J810009356,1,1,365
AMKATM82,VSR371-A001,64,5/5/2022,5/1/2022,8/30/2026,2,1,Win10,J810009362,1,1,365
ATM00001,ATM00001,61,1/21/2022,1/21/2022,1/21/2027,2,1,Win10,J810001788,1,1,365
ATM-share 01,ATMSHA1-A001,92,3/11/2023,3/11/2023,3/11/2028,2,1,Win10,J812001421,1,1,365
ATM-share 02,ATMSHA2-A001,90,3/11/2023,3/11/2023,3/11/2028,2,1,Win10,J812001422,1,1,365
BKATM001,BKATM001,61,5/15/2023,5/15/2023,5/15/2028,2,1,Win10,J810009717,1,1,365
BKCRM001,BKCRM001,50,5/15/2023,5/15/2023,5/15/2028,2,3,Win10,J812001419,2,1,365
BMCCRM01,BMCCRM01,82,1/18/2023,1/18/2023,1/18/2028,2,3,Win10,J812001414,2,1,365
BTBCRM01,BTBCRM01,81,1/18/2023,1/18/2023,1/18/2028,2,3,Win10,J812001417,2,1,365
CRM00001,CRM00001,50,6/14/2022,6/14/2022,6/14/2028,2,3,Win10,J812001418,2,1,365
IMATM001,IMATM001,72,3/4/2022,3/4/2022,3/4/2028,2,1,Win10,J810001786,1,1,365
IMCRM001,IMCRM001,52,7/19/2022,7/19/2022,7/19/2028,2,3,Win10,J812001420,2,1,365
KHKCRM01,KHKCRM01,102,9/16/2023,9/16/2023,9/16/2028,2,3,Win10,J812002095,2,1,365
KPCCRM01,KPCCRM01,91,6/26/2023,6/26/2023,6/26/2028,2,3,Win10,J812001416,2,1,365
NSFCRM01,NSFCRM01,106,11/14/2023,11/14/2023,11/14/2028,2,3,Win10,J812001423,2,1,365
OKDCRM01,OKDCRM01,77,2/17/2023,2/17/2023,2/17/2028,2,3,Win10,J812001424,2,1,365
PBCATM01,PBCATM01,75,1/10/2023,1/10/2023,1/10/2028,2,1,Win10,J812001425,1,1,365
PBCCRM01,PBCCRM01,75,1/10/2023,1/10/2023,1/10/2028,2,3,Win10,J812001426,2,1,365
PPAATM01,PPAATM01,109,11/21/2023,11/21/2023,11/21/2028,2,1,Win10,J812001427,1,1,365
PSZATM01,PSZATM01,76,1/25/2023,1/25/2023,1/25/2028,2,1,Win10,J812001428,1,1,365
PSZCRM01,PSZCRM01,76,1/25/2023,1/25/2023,1/25/2028,2,3,Win10,J812001429,2,1,365
SHVATM01,SHVATM01,59,6/1/2022,6/1/2022,6/1/2027,2,1,Win10,J812001430,1,1,365
SHVCRM01,SHVCRM01,60,6/1/2022,6/1/2022,6/1/2027,2,3,Win10,J812001431,2,1,365
SSATM001,SSATM001,53,3/18/2022,3/18/2022,3/18/2027,2,1,Win10,J812001432,1,1,365
SSCRM001,SSCRM001,54,6/13/2022,6/13/2022,6/13/2027,2,3,Win10,J812001433,2,1,365
TCATM001,TCATM001,111,10/21/2022,10/21/2022,10/21/2027,2,1,Win10,J812001434,1,1,365
TCCRM001,TCCRM001,111,10/21/2022,10/21/2022,10/21/2027,2,3,Win10,J812001435,2,1,365
