bank_name_id,site_name_id,siteID,address
2,7,120104-09,"56, Street 360, Village 9, Sangkat Boeung Keng Kang III, Khan Boeung Keng Kang, Phnom Penh"
5,8,120308,"building 99, 101, 103 preah sihanouk blvd 274, phnom penh"
4,7,120501-01,"Phum Sambuor, dangkor district, khan dangkor, Phnom Penh"
2,7,80101-02,"Tnot 1 Deum Village, Bek Chan Commune, Ang Snoul District, Kandal Province."
2,7,80101-03,"Tnot 1 Deum Village, Bek Chan Commune, Ang Snoul District, Kandal Province."
2,7,21410,"Prek Mohatep Village, Sangkat Svay Por, Battambang Province."
2,7,81104,"Takhmao Village, Sangkat Takhmao, Takhmao City, Kandal Province."
2,7,30501,"Ampil Leu Village, Ampil Commune, Kampong Siem District, Kampong Cham Province."
2,7,230201,"Plot No. B1 0391 and B1 0027, Pahi Tbong Village, Sangkat Pailin, Pailin City, Pailin Province."
2,7,120101-03,"132, Sothearos Street, Sangkat Tonle Bassac, Khan Chamkarmon, Phnom Penh."
2,7,120404,"Street 169, Sangkat Veal Vong, Khan 7 Makara, Phnom Penh, Cambodia."
2,7,120104-05,"647, Chamkar Dong Street, Sambour Village, Sangkat Dangkor, Khan Dangkor, Phnom Penh, Cambodia."
2,7,120911,"No. 34 national road 4 phum angkor, sangkat chom chao, Khan por sen chey, Phnom Penh"
2,7,120404-03,"Kampuchea Krom Street, Sangkat Teuk Laak 1, Khan Toul Kork, Phnom Penh, Cambodia."
2,4,120104-02,"285, Street 271, Village 1, Sangkat Boeung Keng Kang, Khan Chamkarmon, Phnom Penh."
2,7,120404-02,"207, Street 271, Village 7, Sangkat Phsar Doeum Kor, Khan Chamkarmon, Phnom Penh, Cambodia."
2,4,141303,"70, Village 4, Sangkat Kampong Leav, Prey Veng City, Prey Veng Province."
2,4,150603,"Street 05, Ra Village, Sangkat Phteah Prey, Pursat City, Pursat Province."
2,4,170609,"Kork Srok village, Puok commune, Puok district, Siem Reap province"
2,4,160902,"Street 78, Sangkat Laban Siek, Banlung City, Rattanakiri Province."
2,4,30308,"National Road No. 6, Ta Sen Village, Sotip Commune, Cheung Prey District, Kampong Cham Province."
2,4,171201,"Plot No. 2794, Chong Kaosou Village, Sangkat Slor Kram, Siem Reap City, Siem Reap Province."
2,4,190501,"Prek Village, Sangkat Stung Treng, Stung Treng City, Stung Treng Province."
2,4,200705,"Rup Ko Village, Sangkat Chek, Svay Rieng District, Svay Rieng Province."
2,4,210201,"Prey Romdeng Village, Ang Tasom Commune, Tram Kak District, Takeo Province."
2,4,211002,"Poum 3, Sangkat Rokar Knung, Krung DounKeo, Takeo Province"
2,7,120106,"Mao Tse Toung Street, Village 6, Sangkat Toul Svay Prey 1, Khan Boeung Keng Kang, Phnom Penh, Cambodia."
2,7,120109,"155E0, Street 163, Corner of Street 468, Sangkat Toul Tum Poung I, Khan Chamkarmon, Phnom Penh, Cambodia."
2,7,120206,"Next to the fence of Norodom Primary School, Norodom Blvd., Sangkat Phsar Kandal II, Khan Daun Penh, Phnom Penh"
2,7,120607,"Street 371, Sangkat Boeung Tumpun 2, Khan Meanchey, Phnom Penh, Cambodia."
2,7,120802-02,"Spring Plaza Building No. 2175, Street 2004, Sangkat Teuk Thla, Khan Sen Sok, Phnom Penh"
2,7,120504,"811 Rd.PreySor, Sangkat PreySor,Khan Dongkor, Phnom Penh"
4,7,120802,"St.2004, Sangkat Teuk Thlar, Khan Sen Sok, Phnom Penh"
